br_code,supplier_code,item_Details,qty_value,supplier_name,item_Count,qty,rate_Details,rate_sum,total_sum,sr_no,Purchase_Order_no
503,S00021,"[209318, 216518]","[32, 4]",ARVIND DISTRIBUTORS,2,"[4, 4]","[0.0, 183.33]",183.33,733.32,1,
503,S00051,[212889],[4],DEV AGENCY (PUNE),1,[4],[0.0],0.0,0.0,2,
503,S00317,[212681],[4],A.P.ENTERPRISE (MALAD),1,[4],[64.02],64.02,256.08,3,
503,S00320,"[202078, 208395, 217373, 218985, 218990, 218991, 218993]","[4, 40, 40, 4, 4, 4, 4]",A V S PHARMA,7,"[4, 4, 4, 4, 4, 4, 4]","[39.7, 44.8, 75.2, 10.35, 0.0, 44.35, 0.0]",214.4,857.6,4,
503,S00339,"[200153, 200824, 200825, 201791, 202702, 202826, 204007, 204009, 204034, 204035, 204036, 204708, 205427, 206102, 206107, 206115, 206116, 206178, 206179, 207982, 207984, 208853, 208859, 208860, 208861]","[20, 4, 4, 60, 4, 40, 4, 40, 200, 4, 40, 4, 20, 4, 4, 4, 4, 40, 40, 20, 20, 4, 60, 60, 60]",ABBOTT INDIA LIMITED,25,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[1420.45, 31.24, 43.69, 7.5, 16.23, 63.0, 398.52, 545.1, 130.0, 21.17, 107.8, 228.0, 3134.8, 131.22, 117.09, 129.15, 365.14, 159.1, 231.0, 1420.45, 1420.45, 199.12, 0.0, 93.3, 155.55]",13750.93,42276.28,5,
503,S00339,"[213473, 213475, 213476, 214357, 215062, 215870, 217172, 218372]","[60, 60, 4, 40, 4, 20, 4, 4]",ABBOTT INDIA LIMITED,8,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[24.9, 0.0, 0.0, 107.6, 12.14, 1291.3, 1067.06, 678.86]",13750.93,12727.44,6,
503,S00559,"[203949, 207357, 210974, 210976, 211351, 211354, 211355, 211782, 212641, 218785]","[40, 40, 60, 60, 40, 4, 4, 40, 4, 40]",THE PAREL CHEMIST (INSIDE KEM HOSP),10,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[23.8, 99.9, 140.1, 99.9, 0.0, 4.54, 23.46, 55.7, 79.5, 176.9]",703.8,2815.2,7,
503,S00688,"[200005, 200018, 200991, 201430, 201485, 201706, 202163, 203106, 203107, 203108, 203109, 204108, 204109, 204477, 206259, 206784, 207818, 208270, 208455, 208992, 209133, 209476, 209768, 210030, 210031]","[16, 4, 40, 60, 4, 4, 40, 4, 4, 4, 4, 4, 4, 40, 40, 4, 40, 4, 40, 60, 40, 4, 4, 40, 4]",DOSHI BROTHERS,25,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[5.96, 169.46, 81.3, 0.0, 86.86, 107.26, 102.8, 56.89, 68.1, 51.04, 77.71, 235.68, 235.68, 0.0, 49.1, 50.06, 9.7, 130.77, 109.9, 61.2, 0.0, 0.0, 58.63, 83.2, 85.96]",3419.77,7669.04,8,
503,S00688,"[210032, 210787, 211156, 211157, 211159, 211295, 211922, 212518, 212634, 212636, 212637, 212638, 213299, 213500, 213501, 213502, 213589, 213781, 213917, 213918, 214234, 214237, 214986, 216211, 217064]","[40, 40, 40, 40, 40, 16, 4, 40, 4, 4, 4, 4, 4, 4, 60, 40, 4, 4, 40, 4, 4, 40, 4, 4, 48]",DOSHI BROTHERS,25,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[111.1, 10.1, 59.6, 74.5, 64.0, 7.16, 103.44, 0.0, 41.35, 47.8, 85.75, 87.08, 64.64, 58.99, 38.7, 27.6, 19.26, 0.0, 0.0, 71.04, 0.0, 12.8, 0.0, 71.89, 67.92]",3419.77,4498.88,9,
503,S00688,[217171],[4],DOSHI BROTHERS,1,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",[377.79],3419.77,1511.16,10,
