,br_code,Branch_name,supplier_code,Supplier_name,item_code,Item_name,qty,line_level_rate,qty_calc,total
0,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S00688,DOSHI BROTHERS,200005,3P 4TAB,4,5.96,16,23.84
1,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S00688,DOSHI BROTHERS,200018,777 OIL 100ML,4,169.46,4,677.84
2,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S00870,HUMAN CARE PHARMACEUTICALS,200019,VENLIFT-OD 150MG 10CAP,4,134.40,40,537.60
3,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S01611,RAHUL DISTRIBUTORS PVT LTD,200028,A TO Z SYP 100ML,4,0,4,0
4,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S00870,HUMAN CARE PHARMACEUTICALS,200029,A-RET 0.025% GEL 20GM,4,76.94,4,307.76
5,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S12267,SHREE SIMBA CHEMIST A UNIT OF AWPSPL(NEW,200031,A-RET 0.05% GEL 20GM,4,93.38,4,373.52
6,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S01494,PHARMA ASIA DISTRIBUTOR,200045,ABANA 60TAB,4,96.98,4,387.92
7,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S09042,STL PHARMA PVT LTD (BHIWANDI),200051,ABHAYADI MODAK ZANDU 30TAB,4,0,4,0
8,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S13627,SIDDHAYU HEALTHCARE PVT LTD,200052,ABHAYARISHTA BAID 450ML,4,96.90,4,387.60
9,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S09042,STL PHARMA PVT LTD (BHIWANDI),200054,ABHAYARISHTA SANDU 450ML,4,142.14,4,568.56
10,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S09042,STL PHARMA PVT LTD (BHIWANDI),200055,ABHAYARISHTA SANDU 200ML,4,75.62,4,302.48
11,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S01611,RAHUL DISTRIBUTORS PVT LTD,200067,ABZ SYP 10ML,4,13.15,4,52.60
12,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S01611,RAHUL DISTRIBUTORS PVT LTD,200068,ABZ 1TAB,4,5.96,4,23.84
13,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S16128,HASMUKHLAL AND SONS,200086,ACETONE ASHWIN 400ML,4,63.20,4,252.80
14,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S16128,HASMUKHLAL AND SONS,200087,ACETONE ASHWIN 100ML,4,18.75,4,75.00
15,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S13466,SHREYES DISTRIBUTORS (SADASHIV PETH),200091,REXIPRA 10MG 10TAB,4,50.90,40,203.60
16,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S13466,SHREYES DISTRIBUTORS (SADASHIV PETH),200092,REXIPRA 20MG 10TAB,4,0,40,0
17,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S01963,SHREE J RAMESH & COMPANY,200093,VELTAM 0.2MG 10TAB,4,47.20,40,188.80
18,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S00755,GENERAL DRUG PVT LTD,200101,ACINIL SYP 170ML,4,0,4,0
19,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S00755,GENERAL DRUG PVT LTD,200102,ACINIL-O SYP 120ML,4,74.46,4,297.84
20,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S01611,RAHUL DISTRIBUTORS PVT LTD,200111,ACIVIR 200DT 10TAB,4,56.20,40,224.80
21,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S01611,RAHUL DISTRIBUTORS PVT LTD,200112,ACIVIR 400DT 5TAB,4,50.35,20,201.40
22,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S01611,RAHUL DISTRIBUTORS PVT LTD,200113,ACIVIR 800DT 5TAB,4,138.95,20,555.80
23,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S01611,RAHUL DISTRIBUTORS PVT LTD,200116,ACIVIR 25MGM INJ AMP,4,0,4,0
24,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S05949,PARSHVA PHARMA,200122,ACNESOL GEL 20GM,4,65.14,4,260.56
25,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S06019,MAHAVEER MEDI SALES PVT LTD (BANGALORE),200126,ACNIL SOAP 75GM,4,65.75,4,263.00
26,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S05897,FERRING PHARMACEUTICALS PVT.LTD.,200152,ACTON PROLONGATUM INJ 5ML VIAL,4,1614.86,4,6459.44
27,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S00339,ABBOTT INDIA LIMITED,200153,ACTRAPID HM PENFILL 5X3ML,4,1420.45,20,5681.80
28,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S17995,SUN PHARMA DISTRIBUTORS LTD,200156,ACUCAL 10TAB,4,59.10,40,236.40
29,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S01611,RAHUL DISTRIBUTORS PVT LTD,200169,ADDYZOA 20CAP,4,130.20,80,520.80
30,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S07741,CHIMANLAL SONS MEDICARE PRODUCTS PVT LTD,200184,ADLIV ORAL DROP 60ML,4,52.09,4,208.36
31,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S07741,CHIMANLAL SONS MEDICARE PRODUCTS PVT LTD,200185,ADLIV-FORTE 10CAP,4,46.60,40,186.40
32,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S07741,CHIMANLAL SONS MEDICARE PRODUCTS PVT LTD,200186,ADLIV SYP 200ML,4,87.40,4,349.60
33,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S01963,SHREE J RAMESH & COMPANY,200187,ADRENOR INJ 2ML AMP,4,20.40,4,81.60
34,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S16128,HASMUKHLAL AND SONS,200197,ADUSOL TULSI SYP 100ML,4,60.89,4,243.56
35,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S01611,RAHUL DISTRIBUTORS PVT LTD,200200,AEROCORT-FORTE ROTACAP 30CAP,4,68.97,4,275.88
36,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S01611,RAHUL DISTRIBUTORS PVT LTD,200201,AEROCORT INHALER,4,180.40,4,721.60
37,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S17213,ZYDUS HEALTHCARE LIMITED,200203,AEROLIFE DEVICE,4,334.48,4,1337.92
38,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S12382,DR REDDYS LABORATORIES LTD,200217,CARDIOPRIL 2.5MG 10CAP,4,0,40,0
39,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S02244,UNITY SALES AGENCIES,200233,AKT 3MG 2TAB,5,11.80,10,59.00
40,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S02244,UNITY SALES AGENCIES,200234,AKT 4MG 4TAB,4,16.20,16,64.80
41,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S02244,UNITY SALES AGENCIES,200235,AKT-FD 3TAB,2,0,6,0
42,503,WELLNESS FOREVER MEDICARE LIMITED ZEDC,S02244,UNITY SALES AGENCIES,200239,AKURIT 6TAB,3,14.34,18,43.02
